,,sex,age,number of follower,number of post,댓글수,like_average,youtube,타 플랫폼 여부,adposting/2021posting,number_posting_month,number_ad_posing_month,ad_posting_length,ad_posting_tag_number,동일 광고 여부,광고 게시글의 # of likes / # of followers,광고 게시글의 # of cmmnts / # of followers,비광고 게시글의 # of likes / # of followers,비광고 게시글의 # of cmmnts / # of followers,논란 여부,Comment Repeat Proportion,Re_cmt_post,Re_cmt_num,cluster
65,milkcat90,여자,30 대,11600,2361,2.333333333,119.8333333,1,0,0.294871795,18,11,277,7.454545455,1,0.009522586,0.000166562,0.009395016,0.000221059,0,8.780487805,0.557142857,0.155378486,1
66,hol_ddong,남자,20 대,26200,798,2.5,878.3333333,0,0,0.071428571,14,1,164,2,1,0.006915735,0.000229674,0.033098001,0.000199716,0,1.458333333,0.030769231,0.005076142,4
67,jeong.woo.joo,여자,30 대,438549,1501,58.66666667,3465.666667,1,0,0.215053763,34,15,147.4666667,9.266666667,1,0.007124158,2.73E-05,0.006844772,2.63E-05,0,9.364221364,0,0,4
68,hee1ove,여자,20 대,61517,237,6.428571429,368.7714286,1,1,0.542857143,32,18,203.7222222,9.777777778,1,0.012195082,0.000127185,0.003419612,1.92E-05,0,9.983606557,0.285714286,0.06514658,4
69,pinkjjelly,여자,20 대,164678,562,30.625,2188.625,1,0,0.66,44,30,380.2666667,12.73333333,1,0.011312634,5.76E-05,0.011955192,5.87E-05,0,7.952443857,0.814285714,0.138349515,2
70,cheristyle_,여자,20 대,210319,1045,50.45454545,5448.333333,1,0,0.126213592,45,8,107.5,2.625,1,0.029912127,5.23E-05,0.029596614,5.08E-05,0,10,0.628571429,0.054086538,1
71,sanggil_go,남자,20 대,285608,284,22.25,4935.3,1,0,0.076923077,8,1,123,8,1,0.037923827,4.20E-05,0.020749247,3.68E-05,0,3.402985075,0.133333333,0.012403101,4
72,9.1.0.7.3.0,여자,30대,74522,2468,27.125,570.2242991,0,0,0.53271028,109,87,277.7011494,8.333333333,1,0.009818276,0.000120773,0.010382814,0.000131752,0,8.241590214,0.3,0.031818182,2
73,freelife103,여자,30대,69223,1528,2.5,540.3826715,0,0,0.534296029,98,90,468.8777778,21.52222222,1,0.008023761,4.86E-05,0.000491854,6.33E-06,0,10.27777778,0.157142857,0.043650794,2
74,ahliswell,여자,30대,67625,2667,4.1,329.1894737,0,1,0.842105263,48,43,377.6744186,12.13953488,1,0.005275867,9.27E-05,0.002532348,7.02E-05,0,8.12345679,0.128571429,0.018108652,2
75,melheevv,여자,20대,17434,175,36.33333333,947.625,1,1,0.338028169,29,12,242.8333333,10.91666667,1,0.066224138,0.000458952,0.075045895,0.000555763,0,6.183235867,0.342857143,0.034482759,4
76,93mi_nii,여자,30대,32167,1290,8,797,0,1,0.81147541,53,47,351,13.89361702,1,0.023647664,0.000207493,0.019543839,0.000227977,0,10.25104603,0.285714286,0.041322314,2
77,z.yu.2,여자,20대,5428,114,103.8,1227.909091,0,0,1.1,11,21,110.4285714,6.333333333,0,0.245900884,0.000993526,0.205618135,0.000929922,0,4.842105263,0.057142857,0.008830022,3
78,minimal__yun,남자,20대,1400,61,18.28571429,241.075,0,0,0.175,18,6,295.5,22.66666667,0,0.203002144,0.007862759,0.143130186,0.003807067,0,6.37037037,0.15,0.020361991,4
79,simg2,여자,20대,6842,528,9.125,310.4242424,1,1,0.212121212,17,6,184.8333333,9.5,0,0.037154757,0.000602806,0.036038252,0.000666517,0,3.866666667,0.75,0.107398568,1
